field,coverage_pct,filled,total,missing
"notes.note_4_operating_costs",0.00,0,43,43
"notes.note_5_financial_items",0.00,0,43,43
"notes.note_6_tax",0.00,0,43,43
"notes.note_7_intangible_assets",0.00,0,43,43
"notes.note_8_buildings.additions",0.00,0,43,43
"notes.note_8_buildings.building_components",0.00,0,43,43
"notes.note_8_buildings.closing_acquisition_value",0.00,0,43,43
"notes.note_8_buildings.closing_depreciation",0.00,0,43,43
"notes.note_8_buildings.current_year_depreciation",0.00,0,43,43
"notes.note_8_buildings.depreciation_method",0.00,0,43,43
"notes.note_8_buildings.depreciation_period_years",0.00,0,43,43
"notes.note_8_buildings.disposals",0.00,0,43,43
"notes.note_8_buildings.disposals_depreciation",0.00,0,43,43
"notes.note_8_buildings.opening_acquisition_value",0.00,0,43,43
"notes.note_8_buildings.opening_depreciation",0.00,0,43,43
"notes.note_8_buildings.planned_residual_value",0.00,0,43,43
"notes.note_8_buildings.tax_assessment_building",0.00,0,43,43
"notes.note_8_buildings.tax_assessment_land",0.00,0,43,43
"notes.note_8_buildings.tax_assessment_year",0.00,0,43,43
"notes.note_9_receivables",0.00,0,43,43
"operations",0.00,0,43,43
"policies",0.00,0,43,43
"property",0.00,0,43,43
"property.address",0.00,0,43,43
"property.apartment_distribution",0.00,0,43,43
"property.apartment_units",0.00,0,43,43
"property.building_type",0.00,0,43,43
"property.built_year",0.00,0,43,43
"property.city",0.00,0,43,43
"property.commercial_area_sqm",0.00,0,43,43
"property.commercial_tenants[0].annual_rent",0.00,0,43,43
"property.commercial_tenants[0].business_name.alternative_values",0.00,0,43,43
"property.commercial_tenants[0].business_name.evidence_pages",0.00,0,43,43
"property.commercial_tenants[0].business_name.extraction_method",0.00,0,43,43
"property.commercial_tenants[0].business_name.extraction_timestamp",0.00,0,43,43
"property.commercial_tenants[0].business_name.model_used",0.00,0,43,43
"property.commercial_tenants[0].business_name.validation_status",0.00,0,43,43
"property.commercial_tenants[0].business_type",0.00,0,43,43
"property.commercial_tenants[0].lease_area_sqm",0.00,0,43,43
"property.commercial_tenants[0].lease_end_date",0.00,0,43,43
"property.commercial_tenants[0].lease_start_date",0.00,0,43,43
"property.common_areas",0.00,0,43,43
"property.cooperative_type",0.00,0,43,43
"property.coordinates",0.00,0,43,43
"property.county",0.00,0,43,43
"property.energy_class",0.00,0,43,43
"property.energy_declaration_date",0.00,0,43,43
"property.energy_performance_kwh_sqm_year",0.00,0,43,43
"property.heating_type",0.00,0,43,43
"property.land_area_sqm",0.00,0,43,43
"property.land_lease",0.00,0,43,43
"property.land_lease_expiry",0.00,0,43,43
"property.living_area_sqm",0.00,0,43,43
"property.municipality",0.00,0,43,43
"property.municipality.alternative_values",0.00,0,43,43
"property.municipality.evidence_pages",0.00,0,43,43
"property.municipality.extraction_method",0.00,0,43,43
"property.municipality.extraction_timestamp",0.00,0,43,43
"property.municipality.model_used",0.00,0,43,43
"property.municipality.validation_status",0.00,0,43,43
"property.number_of_buildings",0.00,0,43,43
"property.number_of_commercial_units",0.00,0,43,43
"property.number_of_floors",0.00,0,43,43
"property.postal_code",0.00,0,43,43
"property.property_designation",0.00,0,43,43
"property.property_designation.alternative_values",0.00,0,43,43
"property.property_designation.evidence_pages",0.00,0,43,43
"property.property_designation.extraction_method",0.00,0,43,43
"property.property_designation.extraction_timestamp",0.00,0,43,43
"property.property_designation.model_used",0.00,0,43,43
"property.property_designation.validation_status",0.00,0,43,43
"property.renovation_years",0.00,0,43,43
"property.samfallighet_description",0.00,0,43,43
"property.samfallighet_percentage",0.00,0,43,43
"property.total_apartments",0.00,0,43,43
"property.total_area_sqm",0.00,0,43,43
"reserves",0.00,0,43,43
"governance.nomination_committee.value[0].name",6.98,3,43,40
"governance.nomination_committee.value[0].role",6.98,3,43,40
"property.property_designation.confidence",6.98,3,43,40
"property.property_designation.source",6.98,3,43,40
"property.property_designation.value",6.98,3,43,40
"financial.balance_sheet.liabilities_total.validation_status",9.30,4,43,39
"property.commercial_tenants",30.23,13,43,30
"property.commercial_tenants[0].business_name.confidence",30.23,13,43,30
"property.commercial_tenants[0].business_name.source",30.23,13,43,30
"property.commercial_tenants[0].business_name.value",30.23,13,43,30
"property.commercial_tenants[0].source_page",30.23,13,43,30
"metadata.fiscal_year.evidence_pages",44.19,19,43,24
"loans[0].interest_rate.confidence",51.16,22,43,21
"loans[0].interest_rate.source",51.16,22,43,21
"loans[0].interest_rate.value",51.16,22,43,21
"loans[0].lender.value",51.16,22,43,21
"loans[0].source_page",51.16,22,43,21
"loans",55.81,24,43,19
"loans[0].lender.confidence",55.81,24,43,19
"loans[0].lender.source",55.81,24,43,19
"loans[0].outstanding_balance.confidence",55.81,24,43,19
"loans[0].outstanding_balance.source",55.81,24,43,19
"loans[0].outstanding_balance.value",55.81,24,43,19
"governance.nomination_committee.value",65.12,28,43,15
"property.apartment_distribution.five_rooms",72.09,31,43,12
"property.apartment_distribution.four_rooms",72.09,31,43,12
"property.apartment_distribution.more_than_five",72.09,31,43,12
"property.apartment_distribution.one_room",72.09,31,43,12
"property.apartment_distribution.three_rooms",72.09,31,43,12
"property.apartment_distribution.two_rooms",72.09,31,43,12
"property.municipality.confidence",72.09,31,43,12
"property.municipality.source",72.09,31,43,12
"property.municipality.value",72.09,31,43,12
"fees.annual_fee_per_sqm.confidence",74.42,32,43,11
"fees.annual_fee_per_sqm.source",74.42,32,43,11
"fees.annual_fee_per_sqm.value",74.42,32,43,11
"fees.arsavgift_per_sqm_total.confidence",74.42,32,43,11
"fees.arsavgift_per_sqm_total.source",74.42,32,43,11
"fees.arsavgift_per_sqm_total.value",74.42,32,43,11
"fees.source_pages",74.42,32,43,11
"financial.balance_sheet.assets_total.confidence",74.42,32,43,11
"financial.balance_sheet.assets_total.source",74.42,32,43,11
"financial.balance_sheet.assets_total.value",74.42,32,43,11
"financial.balance_sheet.equity_total.confidence",74.42,32,43,11
"financial.balance_sheet.equity_total.source",74.42,32,43,11
"financial.balance_sheet.equity_total.value",74.42,32,43,11
"financial.balance_sheet.liabilities_total.confidence",74.42,32,43,11
"financial.balance_sheet.liabilities_total.source",74.42,32,43,11
"financial.balance_sheet.liabilities_total.value",74.42,32,43,11
"financial.balance_sheet.source_pages",74.42,32,43,11
"financial.income_statement.expenses_total.confidence",74.42,32,43,11
"financial.income_statement.expenses_total.source",74.42,32,43,11
"financial.income_statement.expenses_total.value",74.42,32,43,11
"financial.income_statement.result_after_tax.confidence",74.42,32,43,11
"financial.income_statement.result_after_tax.source",74.42,32,43,11
"financial.income_statement.result_after_tax.value",74.42,32,43,11
"financial.income_statement.revenue_total.confidence",74.42,32,43,11
"financial.income_statement.revenue_total.source",74.42,32,43,11
"financial.income_statement.revenue_total.value",74.42,32,43,11
"financial.income_statement.source_pages",74.42,32,43,11
"governance.board_members[0].source_page",74.42,32,43,11
"metadata.brf_name.evidence_pages",74.42,32,43,11
"notes.note_8_buildings.source_pages",74.42,32,43,11
"notes.total_notes",74.42,32,43,11
"property.source_pages",74.42,32,43,11
"governance.chairman.confidence",76.74,33,43,10
"governance.chairman.source",76.74,33,43,10
"governance.chairman.value",76.74,33,43,10
"governance.primary_auditor.firm.confidence",76.74,33,43,10
"governance.primary_auditor.firm.source",76.74,33,43,10
"governance.primary_auditor.firm.value",76.74,33,43,10
"all_source_pages",79.07,34,43,9
"governance.primary_auditor.source_page",79.07,34,43,9
"governance.source_pages",79.07,34,43,9
"governance.board_members",81.40,35,43,8
"governance.board_members[0].full_name.confidence",81.40,35,43,8
"governance.board_members[0].full_name.source",81.40,35,43,8
"governance.board_members[0].full_name.value",81.40,35,43,8
"governance.board_members[0].role",81.40,35,43,8
"metadata.organization_number.evidence_pages",81.40,35,43,8
"governance.primary_auditor.name.confidence",88.37,38,43,5
"governance.primary_auditor.name.source",88.37,38,43,5
"governance.primary_auditor.name.value",88.37,38,43,5
"governance.nomination_committee.confidence",95.35,41,43,2
"governance.nomination_committee.source",95.35,41,43,2
"confidence_score",97.67,42,43,1
"coverage_percentage",97.67,42,43,1
"extraction_quality.confidence_score",97.67,42,43,1
"extraction_quality.coverage_percentage",97.67,42,43,1
"extraction_quality.evidence_ratio",97.67,42,43,1
"extraction_quality.total_fields",97.67,42,43,1
"metadata.brf_name.confidence",97.67,42,43,1
"metadata.brf_name.source",97.67,42,43,1
"metadata.brf_name.value",97.67,42,43,1
"metadata.document_id",97.67,42,43,1
"metadata.document_type",97.67,42,43,1
"metadata.extraction_date",97.67,42,43,1
"metadata.extraction_mode",97.67,42,43,1
"metadata.extraction_version",97.67,42,43,1
"metadata.file_hash_sha256",97.67,42,43,1
"metadata.file_path",97.67,42,43,1
"metadata.file_size_bytes",97.67,42,43,1
"metadata.fiscal_year.confidence",97.67,42,43,1
"metadata.fiscal_year.source",97.67,42,43,1
"metadata.fiscal_year.value",97.67,42,43,1
"metadata.is_machine_readable",97.67,42,43,1
"metadata.organization_number.confidence",97.67,42,43,1
"metadata.organization_number.source",97.67,42,43,1
"metadata.organization_number.value",97.67,42,43,1
"metadata.pages_total",97.67,42,43,1
